Tematica,fecha_mensual,Cantidad
HURTO A PERSONAS,01/10/2025,29340.00
HURTO A PERSONAS,01/11/2025,21378.00
HURTO A PERSONAS,01/12/2025,21467.00
LESIONES PERSONALES,01/01/2005,2671.00
LESIONES PERSONALES,01/02/2005,2605.00
LESIONES PERSONALES,01/03/2005,2453.00
LESIONES PERSONALES,01/04/2005,2268.00
LESIONES PERSONALES,01/05/2005,2303.00
LESIONES PERSONALES,01/06/2005,2053.00
LESIONES PERSONALES,01/07/2005,2317.00
LESIONES PERSONALES,01/08/2005,2342.00
LESIONES PERSONALES,01/09/2005,2598.00
LESIONES PERSONALES,01/10/2005,2785.00
LESIONES PERSONALES,01/11/2005,2669.00
LESIONES PERSONALES,01/12/2005,3345.00
LESIONES PERSONALES,01/01/2006,3998.00
LESIONES PERSONALES,01/02/2006,3726.00
LESIONES PERSONALES,01/03/2006,3616.00
LESIONES PERSONALES,01/04/2006,3722.00
LESIONES PERSONALES,01/05/2006,3519.00
LESIONES PERSONALES,01/06/2006,3730.00
LESIONES PERSONALES,01/07/2006,3802.00
LESIONES PERSONALES,01/08/2006,3939.00
LESIONES PERSONALES,01/09/2006,4065.00
LESIONES PERSONALES,01/10/2006,4209.00
LESIONES PERSONALES,01/11/2006,3817.00
LESIONES PERSONALES,01/12/2006,4387.00
LESIONES PERSONALES,01/01/2007,5057.00
LESIONES PERSONALES,01/02/2007,4551.00
LESIONES PERSONALES,01/03/2007,4550.00
LESIONES PERSONALES,01/04/2007,4191.00
LESIONES PERSONALES,01/05/2007,3905.00
LESIONES PERSONALES,01/06/2007,3377.00
LESIONES PERSONALES,01/07/2007,3600.00
LESIONES PERSONALES,01/08/2007,3556.00
LESIONES PERSONALES,01/09/2007,3989.00
LESIONES PERSONALES,01/10/2007,3690.00
LESIONES PERSONALES,01/11/2007,3666.00
LESIONES PERSONALES,01/12/2007,3826.00
LESIONES PERSONALES,01/01/2008,5117.00
LESIONES PERSONALES,01/02/2008,4915.00
LESIONES PERSONALES,01/03/2008,5146.00
LESIONES PERSONALES,01/04/2008,4972.00
LESIONES PERSONALES,01/05/2008,5138.00
LESIONES PERSONALES,01/06/2008,5123.00
LESIONES PERSONALES,01/07/2008,4831.00
LESIONES PERSONALES,01/08/2008,4983.00
LESIONES PERSONALES,01/09/2008,5117.00
LESIONES PERSONALES,01/10/2008,4704.00
LESIONES PERSONALES,01/11/2008,4555.00
LESIONES PERSONALES,01/12/2008,4313.00
LESIONES PERSONALES,01/01/2009,5255.00
LESIONES PERSONALES,01/02/2009,4420.00
LESIONES PERSONALES,01/03/2009,4737.00
LESIONES PERSONALES,01/04/2009,4265.00
LESIONES PERSONALES,01/05/2009,4912.00
LESIONES PERSONALES,01/06/2009,4457.00
LESIONES PERSONALES,01/07/2009,4526.00
LESIONES PERSONALES,01/08/2009,4801.00
LESIONES PERSONALES,01/09/2009,4322.00
LESIONES PERSONALES,01/10/2009,4612.00
LESIONES PERSONALES,01/11/2009,4465.00
LESIONES PERSONALES,01/12/2009,4351.00
LESIONES PERSONALES,01/01/2010,5327.00
LESIONES PERSONALES,01/02/2010,4572.00
LESIONES PERSONALES,01/03/2010,4863.00
LESIONES PERSONALES,01/04/2010,4495.00
LESIONES PERSONALES,01/05/2010,4684.00
LESIONES PERSONALES,01/06/2010,4094.00
LESIONES PERSONALES,01/07/2010,4340.00
LESIONES PERSONALES,01/08/2010,4488.00
LESIONES PERSONALES,01/09/2010,4131.00
LESIONES PERSONALES,01/10/2010,4304.00
LESIONES PERSONALES,01/11/2010,3661.00
LESIONES PERSONALES,01/12/2010,4182.00
LESIONES PERSONALES,01/01/2011,5724.00
LESIONES PERSONALES,01/02/2011,4870.00
LESIONES PERSONALES,01/03/2011,5174.00
LESIONES PERSONALES,01/04/2011,4775.00
LESIONES PERSONALES,01/05/2011,5537.00
LESIONES PERSONALES,01/06/2011,5132.00
LESIONES PERSONALES,01/07/2011,5241.00
LESIONES PERSONALES,01/08/2011,5334.00
LESIONES PERSONALES,01/09/2011,4983.00
LESIONES PERSONALES,01/10/2011,5095.00
LESIONES PERSONALES,01/11/2011,5123.00
LESIONES PERSONALES,01/12/2011,5198.00
LESIONES PERSONALES,01/01/2012,7894.00
LESIONES PERSONALES,01/02/2012,6678.00
LESIONES PERSONALES,01/03/2012,6982.00
LESIONES PERSONALES,01/04/2012,7274.00
LESIONES PERSONALES,01/05/2012,7208.00
LESIONES PERSONALES,01/06/2012,6836.00
LESIONES PERSONALES,01/07/2012,7777.00
LESIONES PERSONALES,01/08/2012,6548.00
LESIONES PERSONALES,01/09/2012,6631.00
LESIONES PERSONALES,01/10/2012,5921.00
LESIONES PERSONALES,01/11/2012,5519.00
LESIONES PERSONALES,01/12/2012,6915.00
LESIONES PERSONALES,01/01/2013,8352.00
